product_id,name,fit,color,price,tags,availability,url,image_url
gymshark-one-shoulder-sports-bra-sports-bras-purple-aw25,One Shoulder Sports Bra,light support,Cherry Purple,$30,new,In Stock,https://www.gymshark.com/products/gymshark-one-shoulder-sports-bra-sports-bras-purple-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-OneShoulderSportsBraGSCherryPurpleB4B6I_PCDS_0427_3840x.jpg?v=1756241425
gymshark-graphic-sports-bra-sports-bras-white-aw25,Graphic Sports Bra,light support,White,$34,new,In Stock,https://www.gymshark.com/products/gymshark-graphic-sports-bra-sports-bras-white-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-GFXAlwaysOnLightSupportGoodLevelBraGSWhiteB4B6O_WB57_0372_3840x.jpg?v=1756242044
gymshark-graphic-sports-bra-sports-bras-black-aw25,Graphic Sports Bra,light support,Black,$34,new,In Stock,https://www.gymshark.com/products/gymshark-graphic-sports-bra-sports-bras-black-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-GFXAlwaysOnLightSupportGoodLevelBraGSBlackB4B6O_BB2J_0409_3840x.jpg?v=1756242255
gymshark-cotton-twist-front-bralette-sports-bras-grey-aw25,Cotton Twist Front Bralette,light support,Light Grey Core Marl,$40,new,In Stock,https://www.gymshark.com/products/gymshark-cotton-twist-front-bralette-sports-bras-grey-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-BetterLevelLightSupportTwistFrontBraletteSeries_FabricPlayLightGreyCoreMarlB4B6L_GBCN_1256_V1_3840x.jpg?v=1756241784
gymshark-cross-over-sports-bra-sports-bras-blue-aw25,Cross Over Sports Bra,medium support,Heavy Blue,$34,new,In Stock,https://www.gymshark.com/products/gymshark-cross-over-sports-bra-sports-bras-blue-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-CrossOverSportsBraGSHeavyBlueB4B6M_UCTN_1339_V1_3840x.jpg?v=1756242394
gymshark-cross-over-sports-bra-sports-bras-red-aw25,Cross Over Sports Bra,medium support,Burgundy Brown,$34,new,In Stock,https://www.gymshark.com/products/gymshark-cross-over-sports-bra-sports-bras-red-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-CrossOverSportsBraGSBurgundyBrownB4B6M_RBQV_1221_V1_3840x.jpg?v=1756242435
gymshark-graphic-sports-bra-sports-bras-blue-aw25,Graphic Sports Bra,light support,Deep Petrol Blue,$34,new,In Stock,https://www.gymshark.com/products/gymshark-graphic-sports-bra-sports-bras-blue-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-GFXAlwaysOnLightSupportGoodLevelBraGSDeepPetrolBlueB4B6O_UDRL_0680_3840x.jpg?v=1756241652
gymshark-printed-twist-front-bralette-sports-bras-grey-aw25,Printed Twist Front Bralette,light support,Denim Grey,$40,new,In Stock,https://www.gymshark.com/products/gymshark-printed-twist-front-bralette-sports-bras-grey-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-BetterLevelLightSupportTwistFrontBraletteSeries_FinishPlayREP_L_A0079GSDenimGreyB4B6Z_GDLZ_0781_V1_3840x.jpg?v=1755507397
gymshark-printed-twist-front-bralette-sports-bras-blue-aw25-1,Printed Twist Front Bralette,light support,Morning Blue,$40,new,In Stock,https://www.gymshark.com/products/gymshark-printed-twist-front-bralette-sports-bras-blue-aw25-1,https://cdn.shopify.com/s/files/1/0156/6146/files/images-BetterLevelLightSupportTwistFrontBraletteSeries_FinishPlayREP_U_A0026GSMorningBlueB4B6Z_UDV2_0649_3840x.jpg?v=1756241583
gymshark-twist-front-long-sleeve-crop-top-crop-tops-black-aw25,Twist Front Long Sleeve Crop Top,body fit,Black,$40,new,In Stock,https://www.gymshark.com/products/gymshark-twist-front-long-sleeve-crop-top-crop-tops-black-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-Gym_KitTwist_front_LongSleeveCropTopGSBlackB5B4S_BB2J_0732_V1b_3840x.jpg?v=1756278595
gymshark-piping-legging-leggings-blue-aw25,Piping Legging,body fit,Deep Petrol Blue/Smoke Blue/Soft White,$48,new,In Stock,https://www.gymshark.com/products/gymshark-piping-legging-leggings-blue-aw25,https://cdn.shopify.com/s/files/1/0156/6146/files/images-Gym_KitPipingSideStripeLegging_Synthetic_GSDeepPetrolBlueGSSmokeBlueGSSoftWhiteB4B7U_UDXP_0196_V1_3840x.jpg?v=1756241167
